title,year,mileage,price,description,image_url,url,postcode,proxy,age
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2018,53,33950,"2.0 350 EcoBlue Leader RWD L2 Euro 6 (s/s) 2dr (1-Stop) | 2.0 350 EcoBlue Panel Van 5dr Diesel Manual FWD L2 H3 Euro 6 (130 ps) | 2.2 TDCi 330 Panel Van 5dr Diesel Manual FWD L2 H1 (209 g/km, 123 bhp) ON SITE STAFF VEHICLE,NEW MOT & SER",https://m.atcdn.co.uk/a/media/w480/9869d85d872c409386268f15faa16857.jpg,/van-details/202502219350584?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=3f21385c-fd3d-4717-bbf3-56a773ff8f0c&advertising-location=at_vans&make=FORD&model=TRANSIT&page=4&postcode=RG1%206AB&price-from=500&wheelbase=MWB&fromsra,RG1 6AB,,7
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2008,53,33950,2.0 350 EcoBlue Leader RWD L2 Euro 6 (s/s) 2dr (1-Stop) | 2.4 TDCi 330 Duratorq Panel Van 3dr Diesel Manual RWD L2 H2 (138 bhp) | 310 L2 H2 125 ps Panel Van - Low Mileage 2.2,https://m.atcdn.co.uk/a/media/w480/9869d85d872c409386268f15faa16857.jpg,/van-details/202502219350584?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=94a0b008-471e-4c1e-a773-5b8facd4c4b7&advertising-location=at_vans&make=FORD&model=TRANSIT&page=5&postcode=RG1%206AB&price-from=500&wheelbase=MWB&fromsra,RG1 6AB,,17
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2022,68000,13925,"2.0 350 EcoBlue Leader Tipper 2dr Diesel Manual FWD L2 Euro 6 (s/s) (1-Stop) (130 ps) | EURO 6/ 130PS/ TIPPER | 2.2 TDCi 280 Duratorq Panel Van 3dr Diesel Manual FWD L2 H2 (207 g/km, 128 bhp)",https://m.atcdn.co.uk/a/media/w480/1091f2320c7f4ccaacd2f45cb3eed0c5.jpg,/van-details/202411206500482?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=44fb89fa-8ed3-4be0-a9ff-1d24a5026090&advertising-location=at_vans&make=FORD&model=TRANSIT&page=1&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,3
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2015,112202,6994,MWB L2H2 Medium Roof 310 Trend Air Con Cruise Side Door NO VAT 2.2 | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr | 2.0 350 EcoBlue FWD L2 H3 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/847329ade4fd4bab8f58031978d33f8d.jpg,/van-details/202504111240857?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=3c8ea1f8-dea0-4666-9043-3d723941540c&advertising-location=at_vans&make=FORD&model=TRANSIT&page=2&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,10
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2022,68000,13925,2.0 350 EcoBlue Leader Tipper 2dr Diesel Manual FWD L2 Euro 6 (s/s) (1-Stop) (130 ps) | EURO 6/ 130PS/ TIPPER | 2.0 350 EcoBlue FWD L2 H3 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/1091f2320c7f4ccaacd2f45cb3eed0c5.jpg,/van-details/202411206500482?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=90b59340-11f5-4967-83d5-a312da7109b5&advertising-location=at_vans&make=FORD&model=TRANSIT&page=3&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,3
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2017,112000,9995,2.0 ECO BLUE 130ps SINGLE CAB TIPPER EU6 | 2.0 350 EcoBlue Panel Van 5dr Diesel Manual FWD L2 H3 Euro 6 (130 ps) | 2.0 290 EcoBlue Panel Van 5dr Diesel Manual FWD L2 H2 Euro 6 (130 ps),https://m.atcdn.co.uk/a/media/w480/2bfbbf4d5cc74da9b32913c14f2a7501.jpg,/van-details/202504101183375?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=1520cae5-77f1-4ace-b77d-7e2543903c41&advertising-location=at_vans&make=FORD&model=TRANSIT&page=4&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,8
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2022,54054,16490,2.0 350 ECOBLUE TREND P/V L2 H2 130 BHP MWB *ASK FOR A WALK AROUND VIDEO* | 350 EcoBlue 130 bhp L2 H3 MWB HIGH ROOF VAN EURO 6 AIR CON 2.0 5dr Panel Van Manual Diesel | 2.0 350 EcoBlue FWD L2 H2 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/bfe75d7d004b4d33ab326b9c4ac4187d.jpg,/van-details/202501158065253?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=8e7a691f-3319-44da-98e2-7ac5f9b58f1a&advertising-location=at_vans&make=FORD&model=TRANSIT&page=5&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,3
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,98000,10590,MWB L2H2 LEADER REFRIGERATED 130 PS 2.0 | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/2d405e1c16a440399237a51d4503958f.jpg,/van-details/202505202623513?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=d2ad8103-3cc3-45fe-af16-60857f8fbd38&advertising-location=at_vans&make=FORD&model=TRANSIT&page=1&postcode=BS1%204AL&price-from=500&wheelbase=MWB&fromsra,BS1 4AL,,5
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2018,92000,8500,2.0 350 EcoBlue FWD L2 H3 Euro 6 5dr | 350 EcoBlue Panel Van 2.0 Manual Diesel | 1 OWNER - EURO 6 - L2H3 - TOWB,https://m.atcdn.co.uk/a/media/w480/d086d6fdaa414423bd0b8a5d1c60a87c.jpg,/van-details/202411186415158?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=fa7e9708-b028-4c15-8887-1153edb950a0&advertising-location=at_vans&make=FORD&model=TRANSIT&page=2&postcode=BS1%204AL&price-from=500&wheelbase=MWB&fromsra,BS1 4AL,,7
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2016,91869,11449,Dropside MWB L2 2.2 TDCi 350 RWD (DRW) (125 ps) | 2.2 TDCi 350 Trend RWD L2 H3 Euro 5 5dr | 350 EcoBlue Panel Van 2.0 Manual Diesel,https://m.atcdn.co.uk/a/media/w480/587dc1651d7f47fb83c58af51cbdefa4.jpg,/van-details/202502269527760?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=bf7cadb8-5d18-4d31-a683-ec2b556c35b0&advertising-location=at_vans&make=FORD&model=TRANSIT&page=3&postcode=BS1%204AL&price-from=500&wheelbase=MWB&fromsra,BS1 4AL,,9
