title,year,mileage,price,description,image_url,url,postcode,proxy,age
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,98000,10590,MWB L2H2 LEADER REFRIGERATED 130 PS 2.0 | 2.2 TDCi 280 Duratorq FWD L2 H2 3dr | 2.2 TDCi 350 Trend RWD L2 H3 3dr,https://m.atcdn.co.uk/a/media/w480/2d405e1c16a440399237a51d4503958f.jpg,/van-details/202505202623513?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=2548728b-f4ed-476c-a159-c9cfa7d596b0&advertising-location=at_vans&make=FORD&model=TRANSIT&page=1&postcode=RG1%208AN&price-from=500&wheelbase=MWB&fromsra,RG1 8AN,,5
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,98000,10590,MWB L2H2 LEADER REFRIGERATED 130 PS 2.0 | 2.0 350 EcoBlue Trend Crew Van Double Cab 6dr Diesel Manual RWD L2 H3 Euro 6 (170 ps) | original crew van 6 seater,https://m.atcdn.co.uk/a/media/w480/2d405e1c16a440399237a51d4503958f.jpg,/van-details/202505202623513?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=7c623ce8-7fb7-4ce9-9193-3a6101c67691&advertising-location=at_vans&make=FORD&model=TRANSIT&page=2&postcode=RG1%208AN&price-from=500&wheelbase=MWB&fromsra,RG1 8AN,,5
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2018,122592,8500,2.0 350 EcoBlue RWD L2 H1 Euro 6 2dr (DRW) | 2.0 350 EcoBlue Leader FWD L2 H3 Euro 6 (s/s) 5dr | 3500 GVW • BLUETOOTH • DAB,https://m.atcdn.co.uk/a/media/w480/94490addea754f13907c7a17aac9d5c2.jpg,/van-details/202505162466661?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=b0114f0c-56ea-4577-a61b-55f849a48b2a&advertising-location=at_vans&make=FORD&model=TRANSIT&page=3&postcode=RG1%208AN&price-from=500&wheelbase=MWB&fromsra,RG1 8AN,,7
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,98000,10590,MWB L2H2 LEADER REFRIGERATED 130 PS 2.0 | 2.0 290 EcoBlue Leader FWD L2 H2 Euro 6 (s/s) 5dr | 2.0 330 EcoBlue Leader Panel Van 5dr Diesel Manual FWD L2 H2 Euro 6 (s/s) (105 ps),https://m.atcdn.co.uk/a/media/w480/2d405e1c16a440399237a51d4503958f.jpg,/van-details/202505202623513?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=b8f07521-0352-441b-903b-398d4d2ef5ce&advertising-location=at_vans&make=FORD&model=TRANSIT&page=4&postcode=RG1%208AN&price-from=500&wheelbase=MWB&fromsra,RG1 8AN,,5
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2015,118107,7494,MWB L2H3 High Roof 350 Tow Bar NO VAT 2.2 | 2.0 350 EcoBlue FWD L2 H1 Euro 6 2dr | 2.4 TDCi 330 Duratorq Panel Van 3dr Diesel Manual RWD L2 H2 (138 bhp),https://m.atcdn.co.uk/a/media/w480/7339b4847c894af98710aee8819ad721.jpg,/van-details/202503059793186?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=966552d8-5e76-4569-bb42-02aad5d26380&advertising-location=at_vans&make=FORD&model=TRANSIT&page=5&postcode=RG1%208AN&price-from=500&wheelbase=MWB&fromsra,RG1 8AN,,10
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2022,68000,13925,"2.0 350 EcoBlue Leader Tipper 2dr Diesel Manual FWD L2 Euro 6 (s/s) (1-Stop) (130 ps) | EURO 6/ 130PS/ TIPPER | 2.2 TDCi 280 Duratorq Panel Van 3dr Diesel Manual FWD L2 H2 (207 g/km, 128 bhp)",https://m.atcdn.co.uk/a/media/w480/1091f2320c7f4ccaacd2f45cb3eed0c5.jpg,/van-details/202411206500482?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=c52b6b94-7d10-4411-9d86-413ce40e8d20&advertising-location=at_vans&make=FORD&model=TRANSIT&page=1&postcode=M1%207AB&price-from=500&wheelbase=MWB&fromsra,M1 7AB,,3
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2022,68000,13925,2.0 350 EcoBlue Leader Tipper 2dr Diesel Manual FWD L2 Euro 6 (s/s) (1-Stop) (130 ps) | EURO 6/ 130PS/ TIPPER | 2.0 350 EcoBlue FWD L2 H3 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/1091f2320c7f4ccaacd2f45cb3eed0c5.jpg,/van-details/202411206500482?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=68fae6fe-180c-4e4a-bf6d-77fa07224d99&advertising-location=at_vans&make=FORD&model=TRANSIT&page=2&postcode=M1%207AB&price-from=500&wheelbase=MWB&fromsra,M1 7AB,,3
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2018,122592,8500,2.0 350 EcoBlue RWD L2 H1 Euro 6 2dr (DRW) | 2.2 TDCi 350 Tipper 2dr Diesel Manual RWD L2 (1-Way) (98 bhp) | CAGED TIPPER - READY TO WORK,https://m.atcdn.co.uk/a/media/w480/94490addea754f13907c7a17aac9d5c2.jpg,/van-details/202505162466661?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=76cbbe3f-6843-49b1-bc55-b9d354cd8eeb&advertising-location=at_vans&make=FORD&model=TRANSIT&page=3&postcode=M1%207AB&price-from=500&wheelbase=MWB&fromsra,M1 7AB,,7
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2019,75000,12995,2.0 290 EcoBlue Trend FWD L2 H2 Euro 6 (s/s) 5dr | 2.0 310 EcoBlue Leader FWD L2 H3 Euro 6 (s/s) 5dr | 2.0 350 LEADER P/V ECOBLUE Manual,https://m.atcdn.co.uk/a/media/w480/15b2d9d2accf4472a7d66af9146dea6b.jpg,/van-details/202504281791803?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=77de0d4c-c296-46e6-9d78-f45807e25967&advertising-location=at_vans&make=FORD&model=TRANSIT&page=4&postcode=M1%207AB&price-from=500&wheelbase=MWB&fromsra,M1 7AB,,6
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,71107,15495,2.0 350 EcoBlue 1-Way Tipper RWD L2 Euro 6 2dr (1-Stop) | 2.0 350 EcoBlue FWD L2 H3 Euro 6 5dr | 2.2 TDCi 350 Trend Panel Van 5dr Diesel Manual RWD L2 H3 Euro 5 (155 ps),https://m.atcdn.co.uk/a/media/w480/13fdcec9e429429dbf3df190e33c8915.jpg,/van-details/202502058771240?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=6dbeffd2-f919-4601-9902-c8ac7640f054&advertising-location=at_vans&make=FORD&model=TRANSIT&page=5&postcode=M1%207AB&price-from=500&wheelbase=MWB&fromsra,M1 7AB,,5
