title,year,mileage,price,price_text,condition,location,postcode,shipping,listing_type,sold_date,bids,seller,url,image_url,scraped_at,proxy_used
ford transit dropside crewcab Tipper,,,3300.0,"£3,300.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,inftho.xrmk4tcw (18) 66.7%,https://www.ebay.co.uk/itm/256943549735?_skw=ford+transit&itmmeta=01JW37PFX6GC935S1SSAZMYT8Y&hash=item3bd3076d27:g:5F0AAOSwPApoLxca&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cxuMD4HhTDObHbdKcKiuIZL94%2FPo63VUZ%2BFBjKtruj7CWkTVx4vkpZE3OTGzc1B7wfVVus%2BX9irRGHpwJGItrmgj4J5QBIx4si403c1P%2Bpec55xYy2ski8aLC7nsfXMekl0S9aJew6bxO4U6edhDu%2FgqID%2BEmyIaYsBjwYkR2xbW2syCi7QXkkJd%2BsrgYfbhp7idRE7zuMSw3jK%2BBqW8zdrTx%2F3GX1NyUNCYv1%2Fk6FlQtQif9shyTR89PXVMo59Bo%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/5F0AAOSwPApoLxca/s-l500.webp,2025-05-25T09:07:15.454732,
"Ford Transit MK7 2014 2.2litre Diesel White Tipper CrewCab Pickup 99,000 Miles",2014.0,99000.0,7000.0,"£7,000.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,livv-2908 (1) 0%,https://www.ebay.co.uk/itm/316817786739?_skw=ford+transit&itmmeta=01JW37PFX61CXVV22K2V4VM43G&hash=item49c3cfc773:g:V18AAeSwGdJoJ4un&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1d%2BWgNYihz8wfCMdsB13fzdf2N31eETx3KkM%2BKpRHjDAxgVs8fZzAduUAQ%2Bd3RyFv1O4VO2gqY2VPLHaF4Y%2FHJv2CQ2JaQ9eih1yQY0v%2FWCOCW%2BHYPD8dR0JbWSggiwTrDovEXu%2FxNwgklXwm%2B--HszFRDTS8yFYvqM1RLEsYcojFQJY%2FGUDy5WHEwz5BRYBb9r8pe8eF5ekuN9NE3jxUs2Jo6jR7c5rSywoDVipu5UdM8vTAo7DfcXU0VZg85s4lU%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/V18AAeSwGdJoJ4un/s-l500.webp,2025-05-25T09:07:15.486972,
ford transit dropside crewcab Tipper,,,2750.0,"£2,750.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,inftho.xrmk4tcw (18) 66.7%,https://www.ebay.co.uk/itm/256943495638?_skw=ford+transit&itmmeta=01JW37PFX674H4XMZJDMH9KRCV&hash=item3bd30699d6:g:5F0AAOSwPApoLxca&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1ciY4fLJVEnMql%2Bb9fus6nuvGEwRM5dGOPFwJfVYilyajCnoygdCU2VmjHEtWw99%2Bx7TuiaQxOOxH1sEVxxhlLrT96wcL6GfaR23t%2BGLJnj5ENjpwJ4qKDAe1pTn1V4pU9x5qTUNcWyeb0Eyql2vzPmF3WF4cZP2vqDTtxRD4nx0sakhsGUiC8%2BKtabEJ4o4D9zyu%2Fxza%2FezQ7MRjYpuCrzUbbm0%2FYKjgt07i44OQSa2e%2Fg4ANGcQkkvAYfGR%2BpxXI%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/5F0AAOSwPApoLxca/s-l500.webp,2025-05-25T09:07:15.516348,
2011 Ford Transit 2.2 TDCi 280 TREND Panel Van Diesel Manual Silver FWD NO VAT,2011.0,,2495.0,"£2,495.00",Rare Van Long Wheel Base Low Roof - Ready For Work 👌,N/A,,N/A,Buy It Now,N/A,,40-tta (323) 100%,https://www.ebay.co.uk/itm/197345663340?_skw=ford+transit&itmmeta=01JW37PFX68GCSEAGY3JWRXAVR&hash=item2df2b7d96c:g:cSQAAOSwp5xoL4K3&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fCvPFoAkbSaNVQghcgjMLbVPdYg1yO9mg9ybNRx1R76%2BvUCzcdcICSRTf8puJofrP1CmknY3rLKWHjEhcwPs5LCsME9xUdEssvH5xMPrjB2HLDMP3QwBttFrKfheTfng9ONQBTOPogVyI3jNH0gSpxD3HGGN%2BcOm50%2FQpAceGpgSSAkiysx7SX9%2BnX0F5l9ruXhu3Zn5O771ZC28oWirdg9WByL9mhgxhVmNFn56gJ1XWJTVMR94BWsjiH7zxqCf8%3D%7Ctkp%3ABk9SR9z-2efgZQ,https://i.ebayimg.com/images/g/cSQAAOSwp5xoL4K3/s-l500.webp,2025-05-25T09:07:15.546718,
Ford Transit Connect LTD LWB 1.5TDci eco blue. Ulez compliant. 2019 127k,2019.0,,6200.0,"£6,200.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,jdav7980 (122) 100%,https://www.ebay.co.uk/itm/116613544453?_skw=ford+transit&itmmeta=01JW37PFX6QKKHZ32CD5F7D8EX&hash=item1b26b57a05:g:SuIAAeSwLMdoLxbc&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1duLi5kIXOjjjjIVKTrWXMDHBupETJwjdyyK7LtpGwru12ureel9BTb9Ma7OiVlvOmUJ9Yc0oXWNhKr7Zr9OZc8DfSd8V5EEF3jMGgiHLjGKZZztxNHi2s%2BvEfQnfdbUPhkay2os2rSIjnvNipejQJUXM6fJINmgbuvDE%2BvJbYPFruhz9%2BBXyGwGR8yTbWWY5GNel4Ls5hcIjMzir6tP17jZbbUaE1XaAJgkjgABCCHZdD8qpxHyuLiKRD4EEDtUWGi%2B7PGgcw%2FSeqFrU3v2o9gns9KKmKqI%2FSA8PPeAtTUjQ%3D%3D%7Ctkp%3ABk9SR97-2efgZQ,https://i.ebayimg.com/images/g/SuIAAeSwLMdoLxbc/s-l500.webp,2025-05-25T09:07:15.577649,
Ford Transit 2012 Silver,2012.0,,2000.0,"£2,000.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,jayt1334 (405) 100%,https://www.ebay.co.uk/itm/335940539555?_skw=ford+transit&itmmeta=01JW37PFX642M83MKXVB6YAGQE&hash=item4e379dd4a3:g:D48AAeSwhR9n~322&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fNxIFC%2Bt1PASNqwDk5Qv2Zd0nEQe08HJRuYq8xfElPxgW7%2FQyWtBAKG11AMfn5a43vbKiTDrCHS28Q7Ysmk3v6sUsM6a%2F6can%2B29h6AQJq8%2BbCskpJfzC0YJEZC238vVxWISVS4Xy4nybVY1ix%2BY1A92qWUE8t4v%2Fvja8E7OCvixZ53e%2BpuXLwShS5V2p2LgDoDBZLMSUTW5KlOF2LV4MgltHl14W4jrBcRmHWqrLblRFFcBvYGXvieDf7ifGQbyM%3D%7Ctkp%3ABk9SR97-2efgZQ,https://i.ebayimg.com/images/g/D48AAeSwhR9n~322/s-l500.webp,2025-05-25T09:07:15.616890,
2020 FORD TRANSIT 2.0 ECOBLUE 5DR RWD L3H3 NON RUNNER / SPARES OR REPAIR,2020.0,,8100.0,"£8,100.00",Pre-owned,N/A,,N/A,Auction,N/A,50.0,"north-west-repo-cars (1,674) 99.6%",https://www.ebay.co.uk/itm/205488334848?_skw=ford+transit&itmmeta=01JW37PFX6W1TQ9RDMB8WJH6QX&hash=item2fd80f2800:g:FtAAAOSwhg5oC1rI&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1f2p6BO9v4gdeYbZ5ShoRPO9WaSCcDDbNffNTI8qnkAULRKyCU2ZifjwRpRnVTPYockqmnSz9gYofQiY9ym%2FSqqxKhVCvVntz60QLwgN5t7UTcp5QCFsW3cShN5rumYWWUjyLshsgKtAMidSFPJBT0%2F2IAY1cMY%2BV1Szn1g3Gb2n%2B1z5jHZmdl8wVHchxNjeGV%2F6cDWmP0ECpm8Kc4Wm1pN8qFkZIRI1ktKtFQVpwPrUASaH7m5X5vxvpVJQ731Rr0%3D%7Ctkp%3ABk9SR97-2efgZQ,https://i.ebayimg.com/images/g/FtAAAOSwhg5oC1rI/s-l500.webp,2025-05-25T09:07:15.646987,
Ford Transit 2.4tdci High Roof,,,1220.0,"£1,220.00",Pre-owned,N/A,,N/A,Auction,N/A,11.0,"g.r.savage (1,714) 100%",https://www.ebay.co.uk/itm/286571414932?_skw=ford+transit&itmmeta=01JW37PFX6M7HXTXYAXEMTEHZ5&hash=item42b8fcc594:g:7nMAAOSwzYhoJkaf&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1di4dZVPheUShLo5zP7%2BnlElNztXN4l8YUfPvPK86HPIzLBb0L200mZNwQ9HvkMRm%2Bdw4KXFQH7hr0BsWui7s1syFwud0RBLqM%2Fs6KI5ChAAbZZmGrBxhqxlHxLsdRzD0ww9P85rVxfzBEXvP2jD%2F3efQCDPgclhY8i%2Bp%2BJU9JgLTBDA%2BueEks2Oup%2Bde%2Fp352ZFPoDMccuzc9jsuJ0DIAYmyKZoqJ%2BTcJ0ttwpzVKqJgkFxApoC8tqsGscJmX264f4jl02J3a6legNv489GEduTnUOOaeumv8ya%2FW3wuAQ9A%3D%3D%7Ctkp%3ABk9SR97-2efgZQ,https://i.ebayimg.com/images/g/7nMAAOSwzYhoJkaf/s-l500.webp,2025-05-25T09:07:15.676091,
"Ford TRANSIT CUSTOM 2.2l Spares Repairs, Starts & Drives",,,1500.0,"£1,500.00",Pre-owned,N/A,,N/A,Auction,N/A,1.0,codenamestation (394) 90%,https://www.ebay.co.uk/itm/127108018323?_skw=ford+transit&itmmeta=01JW37PFX68C3K1C8JGQZ0J3BW&hash=item1d983a7093:g:YukAAOSw3zFoIkYA&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cZOdr2ziyZsO0CuBprdEH%2Be3fTnFd8Yfw3WrD3xHhipDK%2BMEvjSKUwkyzxzTrU4uUpZQABIGCoCJLMh%2BrkWEkacTReBMJ8UGnsmWzGcHv2cxnattQSffWWGrZC2iaICpnxK%2BIBUABYGAIKU8npM0jkadV%2FQkFZdwqjX6zoxfumGrEzPXBEorGUdvqvdtX38PUM6WDZ2C1yDK6trdh%2BH6GBBH7xYm2qjcxj7JAUL5InXgdj0c%2FbLjMOmqaNO%2F2NFVQ%3D%7Ctkp%3ABk9SR97-2efgZQ,https://i.ebayimg.com/images/g/YukAAOSw3zFoIkYA/s-l500.webp,2025-05-25T09:07:15.706363,
Ford Transit Custom Spares Or Repair,,,1600.0,"£1,600.00",Pre-owned,N/A,,N/A,Buy It Now,N/A,,chakem53 (58) 100%,https://www.ebay.co.uk/itm/286589211279?_skw=ford+transit&itmmeta=01JW37PFX6P2QD7T23M30JQYJ6&hash=item42ba0c528f:g:8okAAeSw3S1oL3El&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dThgrUFo7FnS9yuZxhggV7b7m63hQjw5kxx%2FMW6Kc25ecZtq3ShvtN774%2Bxsqq7OE6OcO%2FrqTH1oLRi5R83UZv0CFX0AzEOxcwwLJqjV2Q%2FM4AmloRoShtFn3PhfM0chumhaK3bcuGg3W7JpJI%2FpSW098N78S%2FWQ5r22ej%2BcXARsRsQTGJhkfIp0lEKyv5pkvtQ2GEmMcwNisZbETWKjlIqRsZ37qs4ADEFQQZweKq1em8cU1zJqub%2FyP9QPGmRzShDslmD4Pe%2BWuBHIRpgZJWfHPwEhQKeSmdHHtBr2IFKA%3D%3D%7Ctkp%3ABk9SR97-2efgZQ,https://i.ebayimg.com/images/g/8okAAeSw3S1oL3El/s-l500.webp,2025-05-25T09:07:15.738225,
